iter	Passed	Remaining
0	2	2165
1	3	1966
2	5	1782
3	7	1756
4	8	1711
5	11	1857
6	12	1832
7	14	1826
8	16	1825
9	18	1819
10	20	1823
11	22	1822
12	23	1821
13	26	1849
14	28	1852
15	30	1859
16	32	1859
17	34	1885
18	36	1863
19	37	1857
20	39	1856
21	42	1876
22	43	1866
23	45	1864
24	49	1923
25	51	1934
26	53	1914
27	55	1916
28	57	1922
29	59	1924
30	61	1924
31	63	1918
32	65	1907
33	66	1896
34	68	1889
35	70	1887
36	72	1886
37	74	1883
38	76	1884
39	78	1881
40	80	1886
41	82	1886
42	84	1887
43	86	1887
44	88	1888
45	90	1880
46	92	1873
47	94	1868
48	95	1860
49	97	1855
50	99	1845
51	102	1874
52	104	1873
53	106	1866
54	108	1857
55	109	1849
56	111	1843
57	113	1836
58	114	1832
59	116	1831
60	118	1823
61	120	1819
62	121	1814
63	123	1806
64	125	1801
65	126	1795
66	128	1790
67	130	1785
68	132	1786
69	134	1783
70	135	1777
71	137	1774
72	139	1767
73	140	1760
74	142	1755
75	143	1748
76	145	1743
77	147	1745
78	149	1744
79	151	1739
80	152	1733
81	154	1728
82	155	1723
83	157	1719
84	159	1715
85	161	1713
86	163	1716
87	165	1715
88	167	1711
89	168	1707
90	170	1703
91	172	1700
92	173	1695
93	175	1689
94	177	1689
95	179	1688
96	180	1682
97	182	1680
98	184	1675
99	185	1671
100	187	1667
101	188	1663
102	190	1659
103	192	1658
104	194	1658
105	196	1658
106	198	1654
107	199	1651
108	201	1648
109	203	1644
110	204	1640
111	206	1638
112	208	1639
113	210	1639
114	212	1635
115	214	1632
116	215	1628
117	217	1624
118	218	1621
119	220	1619
120	222	1615
121	224	1614
122	225	1610
123	227	1605
124	228	1601
125	230	1597
126	231	1593
127	233	1589
128	235	1588
129	237	1586
130	239	1587
131	241	1584
132	242	1583
133	244	1579
134	246	1576
135	247	1572
136	249	1570
137	250	1567
138	252	1564
139	254	1564
140	256	1560
141	257	1557
142	259	1555
143	261	1551
144	262	1547
145	263	1544
146	265	1540
147	267	1538
148	269	1537
149	270	1535
150	272	1532
151	274	1529
152	275	1525
153	277	1522
154	277	1514
155	279	1511
156	280	1508
157	282	1505
158	284	1504
159	286	1502
160	287	1499
161	289	1496
162	290	1493
163	292	1489
164	293	1486
165	295	1485
166	297	1483
167	297	1475
168	300	1475
169	301	1474
170	303	1472
171	305	1470
172	306	1467
173	308	1464
174	310	1461
175	311	1459
176	313	1456
177	315	1456
178	317	1454
179	318	1452
180	320	1451
181	322	1450
182	324	1448
183	326	1446
184	327	1443
185	329	1440
186	331	1440
187	332	1437
188	334	1435
189	336	1432
190	337	1430
191	339	1427
192	340	1425
193	342	1422
194	344	1420
195	346	1419
196	348	1419
197	350	1417
198	351	1416
199	353	1414
200	355	1412
201	357	1410
202	358	1408
203	361	1409
204	363	1408
205	364	1406
206	366	1404
207	368	1402
208	370	1400
209	372	1399
210	373	1398
211	376	1398
212	377	1395
213	379	1394
214	381	1392
215	382	1389
216	384	1387
217	386	1384
218	387	1382
219	389	1380
220	391	1379
221	393	1379
222	395	1378
223	397	1375
224	398	1373
225	400	1371
226	402	1369
227	403	1367
228	405	1364
229	407	1364
230	409	1362
231	411	1361
232	413	1359
233	415	1359
234	417	1358
235	419	1358
236	423	1362
237	425	1362
238	427	1362
239	429	1361
240	432	1361
241	435	1362
242	437	1363
243	440	1364
244	442	1364
245	444	1363
246	447	1364
247	449	1363
248	451	1363
249	455	1365
250	457	1365
251	459	1363
252	461	1362
253	472	1388
254	474	1387
255	477	1386
256	479	1386
257	481	1385
258	484	1385
259	487	1386
260	490	1388
261	492	1387
262	494	1385
263	496	1384
264	499	1385
265	502	1385
266	504	1384
267	506	1384
268	509	1383
269	511	1382
270	514	1383
271	516	1382
272	518	1381
273	520	1380
274	523	1378
275	525	1379
276	528	1380
277	531	1379
278	533	1378
279	535	1378
280	538	1377
281	540	1376
282	542	1374
283	545	1374
284	547	1372
285	549	1371
286	551	1370
287	553	1369
288	556	1368
289	559	1369
290	562	1370
291	566	1374
292	568	1372
293	571	1371
294	574	1373
295	577	1372
296	579	1371
297	581	1370
298	583	1368
299	586	1367
300	587	1365
301	590	1365
302	593	1364
303	595	1363
304	597	1361
305	599	1359
306	601	1357
307	604	1357
308	606	1356
309	609	1355
310	611	1354
311	613	1353
312	616	1352
313	619	1352
314	621	1352
315	625	1353
316	627	1351
317	631	1353
318	633	1352
319	635	1351
320	638	1349
321	641	1350
322	643	1349
323	645	1347
324	647	1344
325	650	1344
326	653	1345
327	655	1343
328	658	1342
329	660	1341
330	662	1339
331	665	1338
332	667	1337
333	669	1335
334	671	1333
335	673	1331
336	675	1329
337	677	1326
338	679	1325
339	681	1323
340	684	1322
341	686	1320
342	688	1318
343	690	1316
344	692	1314
345	693	1311
346	696	1310
347	698	1308
348	700	1307
349	703	1306
350	705	1304
351	708	1303
352	712	1305
353	714	1303
354	716	1301
355	718	1299
356	720	1296
357	721	1294
358	724	1293
359	726	1292
360	729	1291
361	731	1289
362	734	1288
363	736	1286
364	738	1285
365	741	1283
366	743	1283
367	746	1281
368	748	1279
369	749	1276
370	751	1274
371	754	1273
372	757	1272
373	759	1271
374	761	1269
375	764	1268
376	765	1265
377	767	1263
378	770	1261
379	773	1261
380	775	1260
381	777	1258
382	779	1255
383	781	1252
384	782	1250
385	785	1249
386	788	1248
387	790	1246
388	792	1244
389	794	1242
390	796	1239
391	797	1237
392	801	1237
393	803	1236
394	805	1234
395	807	1232
396	809	1229
397	811	1227
398	813	1224
399	815	1223
400	818	1221
401	820	1220
402	822	1218
403	824	1215
404	826	1213
405	827	1211
406	829	1208
407	832	1208
408	834	1205
409	836	1203
410	838	1201
411	840	1199
412	842	1196
413	844	1194
414	846	1193
415	848	1190
416	849	1188
417	851	1186
418	854	1184
419	856	1182
420	857	1179
421	860	1177
422	862	1176
423	864	1174
424	866	1172
425	868	1170
426	870	1168
427	872	1166
428	874	1163
429	876	1161
430	878	1160
431	880	1157
432	882	1155
433	883	1152
434	885	1150
435	887	1147
436	888	1145
437	891	1143
438	893	1141
439	895	1139
440	896	1136
441	898	1134
442	900	1132
443	902	1129
444	904	1127
445	906	1126
446	908	1124
447	910	1122
